WITH SUBSERVERS,,SUBSERVER#,2,,,
N=10^8,,,,,,
Num of Threads,Run 1 (ms),Run 2 (ms),Run 3 (ms),Run 4 (ms),Run 5 (ms),Mean
1,114478,114531,114853,113371,113525,114151.6
2,58938,59089,59093,59018,58983,59024.2
4,31073,30819,31465,30944,31077,31075.6
8,21222,21754,22726,22056,22009,21953.4
16,21691,21889,21861,21194,21166,21560.2
32,21777,20824,21497,20637,22849,21516.8
64,20264,21212,20490,21240,21068,20854.8
128,22549,20864,20889,20208,20608,21023.6
256,22856,22081,22539,22518,20260,22050.8
512,22367,20924,20965,21116,20032,21080.8
1024,22101,20729,27829,20925,20184,22353.6
,,,,,,
,,,,,,
,,,,,,
,,,,,,
WITHOUT SUBSERVERS,,,,,,
N=10^8,,,,,,
Num of Threads,Run 1 (ms),Run 2 (ms),Run 3 (ms),Run 4 (ms),Run 5 (ms),Mean
1,72217,88133,72173,84524,77611,78931.6
2,60831,56830,60640,51298,70791,60078.0
4,45514,44564,42815,45427,35439,42751.8
8,30945,30388,26730,24056,22590,26941.8
16,21619,30113,29698,28932,29402,27952.8
32,27636,25280,32936,28183,28087,28424.4
64,28555,28420,25406,28964,28073,27883.6
128,28936,29074,29213,25525,27648,28079.2
256,27682,28011,25195,25292,27443,26724.6
512,32703,21347,28816,22538,20788,25238.4
1024,22190,22544,26623,28939,25400,25139.2
